Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",-4.265827,0.621890,0.000000,bottom
"J2","Power_inlet_vertical","Wurth-694106402002",-3.118780,1.302992,180.000000,bottom
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",-3.168386,3.175039,90.000000,bottom
"C1","C_0805_0.1uf","C_0805_2012Metric",4.105000,2.290000,-90.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",3.980000,3.240000,90.000000,top
"C3","C_0805_0.1uf","C_0805_2012Metric",4.596535,1.190000,180.000000,top
"C4","C_0805_22pf","C_0805_2012Metric",5.078819,2.314803,0.000000,top
"C5","C_0805_22pf","C_0805_2012Metric",5.068976,2.629764,0.000000,top
"C6","C_0805_1uf","C_0805_2012Metric",3.456575,1.502992,180.000000,top
"C7","C_0805_0.1uf","C_0805_2012Metric",3.446535,1.065000,0.000000,top
"C8","C_0805_0.1uf","C_0805_2012Metric",1.221535,0.715000,0.000000,top
"C9","C_0805_0.1uf","C_0805_2012Metric",2.421535,0.340000,0.000000,top
"C10","C_0805_0.1uf","C_0805_2012Metric",1.221535,0.990000,0.000000,top
"C11","C_0805_0.1uf","C_0805_2012Metric",2.428622,1.306142,0.000000,top
"C12","C_0805_0.1uf","C_0805_2012Metric",2.421535,0.990000,0.000000,top
"C13","C_0805_0.1uf","C_0805_2012Metric",1.821535,1.015000,0.000000,top
"C14","C_0805_0.1uf","C_0805_2012Metric",1.230000,0.340000,0.000000,top
"C15","C_0805_0.1uf","C_0805_2012Metric",0.580000,0.390000,0.000000,top
"C16","C_0805_0.1uf","C_0805_2012Metric",0.596535,0.640000,0.000000,top
"C17","C_0805_0.1uf","C_0805_2012Metric",1.780000,0.690000,0.000000,top
"C18","C_0805_0.1uf","C_0805_2012Metric",1.830000,0.340000,0.000000,top
"C19","C_0805_0.1uf","C_0805_2012Metric",2.430000,0.665000,0.000000,top
"C20","C_0805_0.1uf","C_0805_2012Metric",1.230000,1.315000,0.000000,top
"D1","LED_0805","LED_0805_2012Metric",4.118091,2.465000,0.000000,top
"D2","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.656772,1.302992,0.000000,top
"D3","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.656772,1.002992,0.000000,top
"D4","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.656772,0.702992,0.000000,top
"D5","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.656772,0.402992,0.000000,top
"D6","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.056772,1.002992,0.000000,top
"D7","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.456772,1.302992,0.000000,top
"D8","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.456772,1.002992,0.000000,top
"D9","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.056772,0.402992,0.000000,top
"D10","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.456772,0.702992,0.000000,top
"D11","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",1.456772,0.402992,0.000000,top
"D12","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.856772,0.402992,0.000000,top
"D13","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",0.856772,0.702992,180.000000,top
"D14","NEOPIXEL_SMT","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",2.056772,0.702992,180.000000,top
"DS1","TC1602A-01T","TC1602A-01T",0.770157,2.919626,0.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",4.080000,1.215000,0.000000,top
"R1","R_0805_2.2K","R_0805_2012Metric",3.955000,2.465000,180.000000,top
"R2","R_0805_10K","R_0805_2012Metric",5.355000,1.240000,90.000000,top
"R3","R_0805_47","R_0805_2012Metric",3.930000,2.281535,-90.000000,top
"R4","R_0805_47","R_0805_2012Metric",4.346535,1.290000,0.000000,top
"R5","R_0805_47","R_0805_2012Metric",4.180000,1.440000,0.000000,top
"R6","R_0805_47","R_0805_2012Metric",2.234331,3.102205,90.000000,top
"R7","R_0805_10K","R_0805_2012Metric",4.805000,1.748465,90.000000,top
"R8","R_0805_10K","R_0805_2012Metric",4.824882,1.897480,-90.000000,top
"R9","R_0805_10K","R_0805_2012Metric",4.651654,3.182913,-90.000000,top
"R10","R_0805_10K","R_0805_2012Metric",5.305197,2.984094,-90.000000,top
"R11","R_0805_4.7K","R_0805_2012Metric",3.104016,0.721102,90.000000,top
"R12","R_0805_4.7K","R_0805_2012Metric",3.155591,0.533307,90.000000,top
"RV1","R_POT_10K","Potentiometer_Bourns_3386P_Vertical",0.829409,3.365000,180.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",5.080000,1.640000,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",5.080000,1.965000,180.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",5.005000,3.040000,180.000000,top
"SW4","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.380000,3.240000,180.000000,top
"SW5","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",5.080000,1.315000,0.000000,top
"U1","DS1307_DIP-8","DIP-8_W7.62mm",3.553622,0.371496,180.000000,top
"U2","ATmega328-PU","DIP-28_W7.62mm",4.554606,1.590394,180.000000,top
"U3","L7805","TO-252-2",3.556575,1.302992,0.000000,top
"Y1","Crystal_16MHz","Crystal_SMD_HC49-SD",4.864252,2.448661,90.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",3.704016,0.421102,-90.000000,top
